object,ra,dec
SN 2010hd,22:41:51.840,-46:05:45.38
SN 2010bt,12:48:20.220,-34:57:16.49
SN 2010bq,16:46:55.409,+34:09:35.39
SN 2010al,08:14:15.910,+18:26:18.20
SN 2010M,03:21:37.589,+26:36:50.29
SN 2009nw,10:40:10.860,+22:37:35.51
SN 2009nn,12:33:56.419,+13:55:09.01
SN 2009nm,10:05:24.540,+51:16:38.71
SN 2009nj,11:06:36.881,+34:19:51.60
SN 2009mb,09:11:09.199,+19:59:45.20
SN 2009ma,08:28:58.200,-00:35:12.30
SN 2009kn,08:09:43.039,-17:44:51.29
SN 2009fs,18:19:11.930,+42:48:21.82
SN 2009eo,14:58:07.990,+02:26:03.30
SN 2009cw,15:05:01.970,+48:40:03.90
SN 2009au,12:59:46.001,-29:36:07.49
SN 2008ja,23:44:12.821,+07:52:23.59
SN 2008iy,16:08:37.229,+04:16:26.69
SN 2008ip,12:57:50.201,+36:22:33.49
SN 2008gm,23:14:12.391,-02:46:52.39
SN 2008en,00:55:13.560,+35:26:26.20
SN 2008cu,19:14:16.961,+53:43:50.48
SN 2008cg,15:54:15.149,+10:58:25.00
SN 2008bm,13:02:58.781,+10:30:27.00
SN 2008be,14:27:48.710,+69:41:50.78
SN 2008am,12:28:36.250,+15:34:49.12
SN 2008aj,13:33:06.331,+33:08:58.99
SN 2008S,20:34:45.350,+60:05:57.80
SN 2008J,02:34:24.199,-10:50:38.51
SN 2008B,15:02:43.649,+23:20:07.80
SN 2007va,14:26:23.239,+35:35:29.11
SN 2007rt,11:02:34.291,+50:34:58.51
SN 2007pk,01:31:47.069,+33:36:54.11
SN 2007oe,00:24:10.339,+00:46:30.22
SN 2007nx,00:03:48.360,+00:21:31.39
SN 2007jm,21:55:38.590,-00:10:36.30
SN 2007gy,23:51:13.570,+11:25:18.91
SN 2007fw,15:21:09.139,+02:26:26.30
SN 2007fk,15:50:35.899,+43:46:32.92
SN 2007cm,12:42:45.180,+55:08:57.08
SN 2007bb,07:01:07.459,+51:15:57.31
SN 2007ak,05:20:40.750,+08:48:15.98
