"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"33724","SN 2019rz","06:50:25.817","+43:03:11.58","SN IIn","0.018853","UGC 03554","0.018853","ASAS-SN, ZTF, ATLAS","Padova-Asiago","ASAS-SN; ATLAS; ZTF","ASASSN-19av","ASASSN-1 - Brutus, P48 - ZTF-Cam, ATLAS1 - ACAM1","Ekar - AFOSC","1","1","","17.4","g-Sloan","2019-01-14 09:50:24","Stanek","",""
"33691","SN 2019qt","14:59:10.650","+43:49:11.68","SN IIn","0.035","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","SCAT","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19aadgimr","P48 - ZTF-Cam, ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1","UH88 - SNIFS","1","1","","17.82","g-ZTF","2019-01-08 12:18:06","ZTF_AMPEL_NEW","",""
"33525","SN 2019lr","08:12:34.850","-20:27:38.46","SN IIn","0.054","","","ATLAS, ZTF","None","ATLAS; ZTF","ATLAS19anu","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.093","cyan-ATLAS","2019-01-02 12:43:12","ATLAS_Bot1","",""
"33314","SN 2019el","00:02:56.707","+32:32:52.13","SN IIn","0.0005","","","MASTER, ZTF","None","MASTER; ZTF","MASTER OT J000256.70+323252.3","Other - Other, P48 - ZTF-Cam","Lijiang-2.4m - YFOSC","1","1","","17.4","Clear-","2019-01-02 15:29:31","MASTER","",""
"34139","SN 2018lmy","18:24:27.780","+46:37:09.52","SN IIn","0.052","","","GaiaAlerts, ZTF, Pan-STARRS1","SCAT","GaiaAlerts; Pan-STARRS1; ZTF","Gaia19aim","Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","17.85","G-Gaia","2018-12-21 22:46:33","Gaia_Bot1","",""
"33018","SN 2018leh","04:05:03.306","+25:15:42.93","SN IIn","0.02396","UGC 2949","0.024","SNHunt, ZTF, ATLAS","ZTF","ATLAS; CRTS; SNHunt; ZTF","","Other - Other, P48 - ZTF-Cam, ATLAS1 - ACAM1","","1","1","","19","V-crts-CRTS","2018-12-31 02:44:56","Drake","",""
"32875","SN 2018kyv","13:01:04.970","+26:21:03.85","SN IIn","0.094","","","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF18aczuooo","P48 - ZTF-Cam, ATLAS1 - ACAM1, Gaia - Gaia-photometric","P200 - DBSP","1","1","","19.05","g-ZTF","2018-12-28 12:58:58","ZTF_AMPEL_NEW","",""
"32424","SN 2018khn","08:56:18.004","+52:32:57.92","SN IIn","0.091","","","ZTF, Pan-STARRS1, ATLAS","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF18acvgjqv","P48 - ZTF-Cam, PS1 - GPC1, ATLAS1 - ACAM1","P200 - DBSP","1","1","","19.47","g-ZTF","2018-12-12 11:24:33","ZTF_AMPEL_NEW","",""
"32418","SN 2018khh","22:03:15.990","-55:58:36.44","SN IIn","0.023","2MASX J22031497-5558516","0.0229","ASAS-SN, GaiaAlerts","None","ASAS-SN; GaiaAlerts","ASASSN-18abz","ASASSN-2 - Cassius, ASASSN-3 - Paczynski, Gaia - Gaia-photometric","SOAR - Goodman","1","1","","16.3","g-Sloan","2018-12-20 00:57:36","Stanek","",""
"32235","SN 2018kag","08:55:48.476","+03:38:29.51","SN IIn","0.02736","SDSS J085548.84+033827.9","0.027209","ASAS-SN, ATLAS, ZTF","None, ZTF","ASAS-SN; ATLAS; ZTF","ASASSN-18abt","ASASSN-2 - Cassius, ASASSN-5 - Payne-Gaposchkin, ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM","1","1","","17.2","g-Sloan","2018-12-17 01:40:48","Stanek","",""
"31641","SN 2018jdo","02:17:48.710","+35:48:29.14","SN IIn","0.039","","","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS18znn","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","18.709","orange-ATLAS","2018-11-27 09:47:31","ATLAS_Bot1","",""
"31064","SN 2018ihm","18:44:14.010","+32:07:39.00","SN IIn","0.055","","","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS18yrh","ATLAS1 - ACAM1, P48 - ZTF-Cam, Gaia - Gaia-photometric","","1","1","","18.32","cyan-ATLAS","2018-11-09 05:52:48","ATLAS_Bot1","",""
"30857","SN 2018hzn","10:10:27.840","+15:21:50.83","SN IIn","0.083","","","GaiaAlerts, ZTF","ZTF","GaiaAlerts; ZTF","Gaia18dho","Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","19.47","G-Gaia","2018-10-16 18:53:16","Gaia_Bot1","",""
