,koaid,instrument,targname,koaimtyp,frameno,ra,dec,date_obs,ut,elaptime,semid,proginst,progpi,progtitl,fileurl
36462,DE.20061223.37494.fits,DEIMOS,sn 06gy 14.6 II,object,63,49.36067,41.36527999999999,2006-12-23,10:24:54.93,600.0,2006B_H246D,UH,Tonry,ESSENCE: Using Supernova to Measure the Equation of State of the Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20061223/lev0/DE.20061223.37494.fits
37450,DE.20070122.17589.fits,DEIMOS,sn 06gy 15.6 II,object,82,49.357919999999986,41.36769,2007-01-22,04:53:09.14,700.0,2006B_H246D,UH,Tonry,ESSENCE: Using Supernova to Measure the Equation of State of the Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20070122/lev0/DE.20070122.17589.fits
38222,DE.20070216.22937.fits,DEIMOS,sn 06gy 16.7 II,object,88,49.385539999999985,41.399889999999985,2007-02-16,06:22:17.03,900.0,2007A_U039D,UCB,Filippenko,The Early-Time Deceleration Test with Type Ia Supernovae,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20070216/lev0/DE.20070216.22937.fits
98540,DE.20130610.20886.fits,DEIMOS,SN2011fh,object,25,194.05870999999993,-29.499420000000004,2013-06-10,05:48:06.84,600.0,2013A_U051D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20130610/lev0/DE.20130610.20886.fits
98541,DE.20130610.21558.fits,DEIMOS,SN2011fh,object,26,194.05879,-29.499420000000004,2013-06-10,05:59:18.69,600.0,2013A_U051D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20130610/lev0/DE.20130610.21558.fits
32129,DE.20060427.54038.fits,DEIMOS,sn2006bo,object,200,307.70267000000007,9.223440000000002,2006-04-27,15:00:38.23,300.0,2006A_U121D,UCB,Spinrad,A Spectroscopic Census Back to the Reionization Era: Galaxies at 3.5 < z < 6.5,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20060427/lev0/DE.20060427.54038.fits
36463,DE.20061223.39089.fits,DEIMOS,sn 05kd,object,64,60.720960000000005,71.70644,2006-12-23,10:51:29.30,500.0,2006B_H246D,UH,Tonry,ESSENCE: Using Supernova to Measure the Equation of State of the Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20061223/lev0/DE.20061223.39089.fits
27812,DE.20051005.17686.fits,DEIMOS,sn 05ds 18.0 II,object,20,269.39946000000003,27.804720000000007,2005-10-05,04:54:46.75,500.0,2005B_H08aD,UH,Tonry,ESSENCE: Using Supernova to Measure the Equation of State of the Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20051005/lev0/DE.20051005.17686.fits
90774,DE.20121115.25308.fits,DEIMOS,SN 2005cp,object,66,359.87879,18.21606,2012-11-15,07:01:48.93,1200.0,2012B_U037LA,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20121115/lev0/DE.20121115.25308.fits
90775,DE.20121115.26593.fits,DEIMOS,SN 2005cp,object,67,359.87879,18.21606,2012-11-15,07:23:13.63,1200.0,2012B_U037LA,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20121115/lev0/DE.20121115.26593.fits
94510,DE.20130217.25742.fits,DEIMOS,SN2013W,object,52,151.65082999999998,14.46372,2013-02-17,07:09:02.21,450.0,2013A_U051D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20130217/lev0/DE.20130217.25742.fits
95788,DE.20130408.20213.fits,DEIMOS,SN 2013W,object,31,151.63637000000003,14.434249999999997,2013-04-08,05:36:53.47,450.0,2013A_U051D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20130408/lev0/DE.20130408.20213.fits
74130,DE.20101107.56243.fits,DEIMOS,SN2010jl 12.9 -,object,78,145.75038000000006,9.53361,2010-11-07,15:37:23.56,60.0,2010B_U142D,UCB,Filippenko,Improving the Utility of Type Ia Supernovae as Probes of Dark Energy,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20101107/lev0/DE.20101107.56243.fits
74131,DE.20101107.56507.fits,DEIMOS,SN2010jl 12.9 -,object,79,145.75042,9.53367,2010-11-07,15:41:47.21,120.0,2010B_U142D,UCB,Filippenko,Improving the Utility of Type Ia Supernovae as Probes of Dark Energy,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20101107/lev0/DE.20101107.56507.fits
90808,DE.20121115.56993.fits,DEIMOS,SN 2010jl,object,100,145.71808,9.49967,2012-11-15,15:49:53.57,180.0,2012B_U037LA,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20121115/lev0/DE.20121115.56993.fits
21520,DE.20050211.36310.fits,DEIMOS,"SN*05R 1W,3N",object,72,168.73975,33.82796999999999,2005-02-11,10:05:10.87,300.0,2005A_U08D,UCB,M.Davis,The DEEP2 Survey of the Distant Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20050211/lev0/DE.20050211.36310.fits
94510,DE.20130217.25742.fits,DEIMOS,SN2013W,object,52,151.65082999999998,14.46372,2013-02-17,07:09:02.21,450.0,2013A_U051D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20130217/lev0/DE.20130217.25742.fits
95788,DE.20130408.20213.fits,DEIMOS,SN 2013W,object,31,151.63637000000003,14.434249999999997,2013-04-08,05:36:53.47,450.0,2013A_U051D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20130408/lev0/DE.20130408.20213.fits
